"Contiguous U.S., 1895 - 2018"
"Date,REDTI,Degree Days"
"1895,91.4,6273.6"
"1896,63.6,5965.9"
"1897,62.1,5948.9"
"1898,66.2,5994.9"
"1899,76.8,6111.7"
"1900,54.7,5866.9"
"1901,87.1,6226.3"
"1902,61.7,5944.0"
"1903,57.0,5891.8"
"1904,82.0,6169.3"
"1905,81.2,6160.9"
"1906,57.0,5892.0"
"1907,59.2,5916.2"
"1908,44.7,5755.5"
"1909,58.7,5911.2"
"1910,53.1,5848.6"
"1911,60.3,5929.3"
"1912,85.8,6211.6"
"1913,39.8,5701.4"
"1914,68.3,6017.6"
"1915,48.1,5793.2"
"1916,72.4,6063.5"
"1917,100.0,6369.6"
"1918,63.0,5959.0"
"1919,58.1,5904.5"
"1920,66.1,5992.9"
"1921,21.2,5495.1"
"1922,50.9,5824.2"
"1923,51.2,5827.5"
"1924,77.9,6124.4"
"1925,63.3,5961.7"
"1926,73.0,6069.6"
"1927,29.0,5581.8"
"1928,47.3,5784.2"
"1929,63.9,5969.4"
"1930,58.9,5913.3"
"1931,29.1,5582.6"
"1932,47.6,5787.6"
"1933,50.6,5821.7"
"1934,56.8,5890.3"
"1935,65.9,5990.6"
"1936,82.2,6171.9"
"1937,72.8,6067.6"
"1938,27.9,5569.0"
"1939,44.2,5750.2"
"1940,69.9,6035.2"
"1941,42.1,5727.1"
"1942,50.7,5822.0"
"1943,72.7,6066.5"
"1944,62.8,5957.2"
"1945,51.9,5835.8"
"1946,13.6,5410.5"
"1947,67.4,6007.6"
"1948,63.2,5960.9"
"1949,40.7,5711.0"
"1950,47.7,5789.1"
"1951,58.8,5912.1"
"1952,54.0,5859.3"
"1953,26.5,5553.3"
"1954,39.8,5701.0"
"1955,67.2,6005.2"
"1956,46.4,5774.9"
"1957,41.8,5723.4"
"1958,71.4,6052.0"
"1959,55.6,5877.2"
"1960,73.5,6075.6"
"1961,51.5,5830.7"
"1962,66.5,5998.0"
"1963,71.1,6048.4"
"1964,52.2,5839.5"
"1965,49.6,5809.9"
"1966,62.9,5958.3"
"1967,48.7,5800.5"
"1968,59.4,5919.4"
"1969,69.4,6030.2"
"1970,66.3,5995.7"
"1971,52.4,5841.7"
"1972,61.1,5937.4"
"1973,36.3,5662.5"
"1974,32.8,5623.5"
"1975,43.3,5739.8"
"1976,51.8,5834.5"
"1977,63.2,5960.6"
"1978,89.3,6250.7"
"1979,63.3,5962.6"
"1980,73.0,6069.7"
"1981,46.8,5778.6"
"1982,50.1,5816.2"
"1983,59.9,5924.0"
"1984,46.2,5772.6"
"1985,56.6,5888.4"
"1986,28.1,5572.0"
"1987,33.8,5634.4"
"1988,61.4,5941.5"
"1989,55.8,5878.9"
"1990,4.8,5312.7"
"1991,26.3,5551.5"
"1992,21.2,5495.4"
"1993,59.5,5920.6"
"1994,40.2,5706.0"
"1995,49.6,5810.2"
"1996,55.9,5880.0"
"1997,39.3,5696.1"
"1998,13.5,5409.1"
"1999,18.1,5460.4"
"2000,38.1,5683.0"
"2001,19.3,5474.0"
"2002,38.6,5687.8"
"2003,46.4,5774.2"
"2004,24.4,5530.8"
"2005,40.6,5709.9"
"2006,11.0,5381.2"
"2007,34.6,5643.4"
"2008,45.3,5762.5"
"2009,40.8,5712.3"
"2010,59.1,5916.1"
"2011,46.7,5778.0"
"2012,0.0,5259.6"
"2013,46.8,5778.7"
"2014,54.6,5865.3"
"2015,29.3,5584.6"
"2016,17.2,5450.6"
"2017,0.5,5265.4"
"2018,56.7,5888.5"
